
No matching checkpoint file found
/media/estar/Data/LY/Models/OSTrack-v2/lib/train/../../lib/models/layers/head.py:144: UserWarning: __floordiv__ is deprecated, and its behavior will change in a future version of pytorch. It currently rounds toward 0 (like the 'trunc' function NOT 'floor'). This results in incorrect rounding for negative values. To keep the current behavior, use torch.div(a, b, rounding_mode='trunc'), or for actual floor division, use torch.div(a, b, rounding_mode='floor').
  idx_y = idx // self.feat_sz
[train: 1, 50 / 3750] FPS: 27.9 (35.3)  ,  DataTime: 0.091 (0.021)  ,  ForwardTime: 0.460  ,  TotalTime: 0.573  ,  Loss/total: 68.16711  ,  Loss/giou: 1.13853  ,  Loss/l1: 0.25559  ,  Loss/location: 64.61208  ,  IoU: 0.07892
[train: 1, 100 / 3750] FPS: 31.1 (35.5)  ,  DataTime: 0.054 (0.021)  ,  ForwardTime: 0.441  ,  TotalTime: 0.515  ,  Loss/total: 43.46809  ,  Loss/giou: 1.12449  ,  Loss/l1: 0.25095  ,  Loss/location: 39.96436  ,  IoU: 0.08731
[train: 1, 150 / 3750] FPS: 32.3 (36.0)  ,  DataTime: 0.041 (0.020)  ,  ForwardTime: 0.434  ,  TotalTime: 0.495  ,  Loss/total: 32.23926  ,  Loss/giou: 1.10154  ,  Loss/l1: 0.24081  ,  Loss/location: 28.83214  ,  IoU: 0.09729
[train: 1, 200 / 3750] FPS: 32.9 (34.6)  ,  DataTime: 0.034 (0.020)  ,  ForwardTime: 0.432  ,  TotalTime: 0.487  ,  Loss/total: 25.50466  ,  Loss/giou: 1.05770  ,  Loss/l1: 0.21462  ,  Loss/location: 22.31616  ,  IoU: 0.13223
[train: 1, 250 / 3750] FPS: 33.2 (34.3)  ,  DataTime: 0.031 (0.020)  ,  ForwardTime: 0.431  ,  TotalTime: 0.482  ,  Loss/total: 21.19338  ,  Loss/giou: 1.00920  ,  Loss/l1: 0.19162  ,  Loss/location: 18.21687  ,  IoU: 0.16908
[train: 1, 300 / 3750] FPS: 33.4 (34.7)  ,  DataTime: 0.028 (0.020)  ,  ForwardTime: 0.430  ,  TotalTime: 0.478  ,  Loss/total: 18.23687  ,  Loss/giou: 0.96762  ,  Loss/l1: 0.17454  ,  Loss/location: 15.42894  ,  IoU: 0.20249
[train: 1, 350 / 3750] FPS: 33.5 (34.4)  ,  DataTime: 0.027 (0.021)  ,  ForwardTime: 0.430  ,  TotalTime: 0.478  ,  Loss/total: 16.03143  ,  Loss/giou: 0.92032  ,  Loss/l1: 0.15900  ,  Loss/location: 13.39578  ,  IoU: 0.23777
[train: 1, 400 / 3750] FPS: 33.5 (34.4)  ,  DataTime: 0.026 (0.022)  ,  ForwardTime: 0.430  ,  TotalTime: 0.477  ,  Loss/total: 14.35752  ,  Loss/giou: 0.88204  ,  Loss/l1: 0.14714  ,  Loss/location: 11.85773  ,  IoU: 0.26728
[train: 1, 450 / 3750] FPS: 33.5 (34.4)  ,  DataTime: 0.025 (0.022)  ,  ForwardTime: 0.430  ,  TotalTime: 0.477  ,  Loss/total: 13.03639  ,  Loss/giou: 0.84840  ,  Loss/l1: 0.13716  ,  Loss/location: 10.65379  ,  IoU: 0.29253
[train: 1, 500 / 3750] FPS: 33.4 (33.2)  ,  DataTime: 0.026 (0.023)  ,  ForwardTime: 0.430  ,  TotalTime: 0.479  ,  Loss/total: 11.98155  ,  Loss/giou: 0.82357  ,  Loss/l1: 0.12973  ,  Loss/location: 9.68575  ,  IoU: 0.31252
[train: 1, 550 / 3750] FPS: 33.4 (32.9)  ,  DataTime: 0.025 (0.024)  ,  ForwardTime: 0.430  ,  TotalTime: 0.479  ,  Loss/total: 11.10427  ,  Loss/giou: 0.79880  ,  Loss/l1: 0.12319  ,  Loss/location: 8.89073  ,  IoU: 0.33204
[train: 1, 600 / 3750] FPS: 33.4 (34.6)  ,  DataTime: 0.024 (0.024)  ,  ForwardTime: 0.430  ,  TotalTime: 0.479  ,  Loss/total: 10.35771  ,  Loss/giou: 0.77405  ,  Loss/l1: 0.11708  ,  Loss/location: 8.22423  ,  IoU: 0.35124
[train: 1, 650 / 3750] FPS: 33.5 (35.2)  ,  DataTime: 0.024 (0.024)  ,  ForwardTime: 0.430  ,  TotalTime: 0.478  ,  Loss/total: 9.72753  ,  Loss/giou: 0.75420  ,  Loss/l1: 0.11206  ,  Loss/location: 7.65883  ,  IoU: 0.36677
[train: 1, 700 / 3750] FPS: 33.5 (34.6)  ,  DataTime: 0.023 (0.024)  ,  ForwardTime: 0.430  ,  TotalTime: 0.477  ,  Loss/total: 9.18337  ,  Loss/giou: 0.73629  ,  Loss/l1: 0.10763  ,  Loss/location: 7.17265  ,  IoU: 0.38063
[train: 1, 750 / 3750] FPS: 33.5 (35.3)  ,  DataTime: 0.023 (0.025)  ,  ForwardTime: 0.430  ,  TotalTime: 0.478  ,  Loss/total: 8.69907  ,  Loss/giou: 0.71761  ,  Loss/l1: 0.10323  ,  Loss/location: 6.74771  ,  IoU: 0.39476
[train: 1, 800 / 3750] FPS: 33.5 (32.6)  ,  DataTime: 0.022 (0.025)  ,  ForwardTime: 0.430  ,  TotalTime: 0.477  ,  Loss/total: 8.27459  ,  Loss/giou: 0.70081  ,  Loss/l1: 0.09935  ,  Loss/location: 6.37621  ,  IoU: 0.40787
[train: 1, 850 / 3750] FPS: 33.5 (33.7)  ,  DataTime: 0.022 (0.025)  ,  ForwardTime: 0.430  ,  TotalTime: 0.477  ,  Loss/total: 7.90266  ,  Loss/giou: 0.68713  ,  Loss/l1: 0.09606  ,  Loss/location: 6.04809  ,  IoU: 0.41835
[train: 1, 900 / 3750] FPS: 33.5 (34.6)  ,  DataTime: 0.022 (0.026)  ,  ForwardTime: 0.430  ,  TotalTime: 0.477  ,  Loss/total: 7.57225  ,  Loss/giou: 0.67470  ,  Loss/l1: 0.09332  ,  Loss/location: 5.75623  ,  IoU: 0.42843
