2022-12-29 18:36:30,136 INFO    MainThread:41068 [wandb_setup.py:_flush():68] Configure stats pid to 41068
2022-12-29 18:36:30,137 INFO    MainThread:41068 [wandb_setup.py:_flush():68] Loading settings from /home/junjie/.config/wandb/settings
2022-12-29 18:36:30,137 INFO    MainThread:41068 [wandb_setup.py:_flush():68] Loading settings from /media/estar/Data/LY/Models/Anti-UAV/ostrack/lib/train/wandb/settings
2022-12-29 18:36:30,137 INFO    MainThread:41068 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-29 18:36:30,137 INFO    MainThread:41068 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'run_training.py', 'program': '/media/estar/Data/LY/Models/Anti-UAV/ostrack/lib/train/run_training.py'}
2022-12-29 18:36:30,137 INFO    MainThread:41068 [wandb_init.py:_log_setup():476] Logging user logs to /media/estar/Data/LY/Models/Anti-UAV/ostrack/tracking/tensorboard/train/ostrack/vitb_384_mae_ce_32x4_got10k_ep100/wandb/run-20221229_183630-2sz8m05c/logs/debug.log
2022-12-29 18:36:30,137 INFO    MainThread:41068 [wandb_init.py:_log_setup():477] Logging internal logs to /media/estar/Data/LY/Models/Anti-UAV/ostrack/tracking/tensorboard/train/ostrack/vitb_384_mae_ce_32x4_got10k_ep100/wandb/run-20221229_183630-2sz8m05c/logs/debug-internal.log
2022-12-29 18:36:30,137 INFO    MainThread:41068 [wandb_init.py:init():516] calling init triggers
2022-12-29 18:36:30,138 INFO    MainThread:41068 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-12-29 18:36:30,138 INFO    MainThread:41068 [wandb_init.py:init():569] starting backend
2022-12-29 18:36:30,138 INFO    MainThread:41068 [wandb_init.py:init():573] setting up manager
2022-12-29 18:36:30,142 INFO    MainThread:41068 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-29 18:36:30,145 INFO    MainThread:41068 [wandb_init.py:init():580] backend started and connected
2022-12-29 18:36:30,149 INFO    MainThread:41068 [wandb_init.py:init():658] updated telemetry
2022-12-29 18:36:30,149 INFO    MainThread:41068 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-29 18:36:30,942 INFO    MainThread:41068 [wandb_run.py:_on_init():2006] communicating current version
2022-12-29 18:36:31,652 INFO    MainThread:41068 [wandb_run.py:_on_init():2010] got version response upgrade_message: "wandb version 0.13.7 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-12-29 18:36:31,652 INFO    MainThread:41068 [wandb_init.py:init():728] starting run threads in backend
2022-12-29 18:36:31,823 INFO    MainThread:41068 [wandb_run.py:_console_start():1986] atexit reg
2022-12-29 18:36:31,824 INFO    MainThread:41068 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-29 18:36:31,824 INFO    MainThread:41068 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-29 18:36:31,824 INFO    MainThread:41068 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-29 18:36:31,825 INFO    MainThread:41068 [wandb_init.py:init():765] run started, returning control to user process
